text,label
I absolutely loved the cinematography and the soundtrack.,positive
The plot was thin and predictable; I was bored.,negative
Stellar performances made the story feel alive.,positive
Terrible pacing and wooden dialogue.,negative
"A charming, funny, and heartfelt movie.",positive
Too long and needlessly complicated.,negative
Beautiful visuals with a strong emotional core.,positive
I couldn't finish it; the acting was awful.,negative
Smart script and great chemistry between leads.,positive
Cheap jump scares and no real tension.,negative
Uplifting and expertly directed.,positive
Messy editing and a confusing narrative.,negative
"A delightful surprise—warm, witty, and sincere.",positive
Flat characters and an incoherent plot.,negative
"Bold, stylish, and thought‑provoking.",positive
Cliché-ridden and painfully slow.,negative
A crowd‑pleaser with real heart.,positive
Terrible CGI and worse writing.,negative
Kept me engaged from start to finish.,positive
I regret wasting time on this.,negative
